date,category,title,amount
2019-02-04,,Pagamento recebido,-125.79
2019-02-11,transporte,Posto Mar Azul,29.88
2019-02-14,supermercado,Koch Hipermercado,63.71
2019-02-18,casa,Komprao Koch Atacadist,29.86
2019-02-23,restaurante,Restaurante Manias,16.4
2019-02-25,transporte,Uber do Brasil Tecnolo,7.26
2019-02-26,restaurante,Restaurante Manias,6.5
2019-02-27,restaurante,Acqio *Manias Restau,14.75
2019-02-27,restaurante,Restaurante Manias,14.5
2019-02-28,restaurante,Restaurante Manias,10.5
2019-02-28,restaurante,Restaurante Manias,20.5
2019-02-28,restaurante,Restaurante Manias,18
